location,property_type,area,rooms,bathrooms,floor_number,total_floors,age_of_property,furnishing_status,parking_spaces,near_metro,gated,near_school,near_it_park,pool,gym,security,garden,clubhouse,play_area,backup,rainwater,ev_charging,cctv,intercom,rooftop,price
Begur,Apartment,552,1,1,8,11,2,Unfurnished,2,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,5514389
Varthur,Independent House,1333,2,2,3,5,10,Unfurnished,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,13581353
Yelahanka,Villa,3393,4,5,11,13,5,Semi-Furnished,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,48064190
Hosur Road,Villa,971,2,3,15,18,10,Unfurnished,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,12666858
Padmanabhanagar,Penthouse,1798,3,4,0,3,15,Semi-Furnished,2,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,23091870
Koramangala,Apartment,1537,3,3,7,7,2,Fully-Furnished,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,27808973
Sarjapur Road,Apartment,2174,3,2,7,16,2,Unfurnished,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,22379453
Old Airport Road,Penthouse,2111,3,3,13,20,0,Fully-Furnished,2,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,41555258
Chandapura,Apartment,748,1,1,0,2,2,Unfurnished,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,5323137
Jayanagar,Apartment,1611,3,2,1,19,10,Fully-Furnished,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,26170640
Panathur,Penthouse,1134,2,3,9,16,5,Unfurnished,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,15891317
Panathur,Apartment,675,1,1,4,12,5,Fully-Furnished,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,7981576
Indiranagar,Apartment,575,1,1,4,5,5,Fully-Furnished,2,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,11598661
Koramangala,Independent House,1841,3,3,7,11,2,Fully-Furnished,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,32936101
Nagarbhavi,Penthouse,1489,3,2,3,11,2,Fully-Furnished,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,20516631
Brookefield,Villa,667,1,1,9,17,5,Fully-Furnished,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,13525853
Banaswadi,Independent House,3672,4,5,5,7,5,Fully-Furnished,2,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,35277533
Outer Ring Road,Independent House,765,1,1,3,16,2,Unfurnished,2,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,11521318
Varthur,Penthouse,1071,2,2,14,14,5,Unfurnished,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,15179606
Yelahanka,Apartment,3203,4,4,0,11,5,Semi-Furnished,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,32295485
